State,Year,Quarter,District,RegisteredUser
andhra-pradesh,2021,3,kurnool district,1522196
andhra-pradesh,2021,3,guntur district,2110878
andhra-pradesh,2021,3,krishna district,2145423
andhra-pradesh,2021,3,spsr nellore district,1263550
andhra-pradesh,2021,3,vizianagaram district,784444
andhra-pradesh,2021,3,ysr district,1183377
andhra-pradesh,2021,3,west godavari district,1436576
andhra-pradesh,2021,3,chittoor district,2007011
andhra-pradesh,2021,4,east godavari district,2294347
andhra-pradesh,2021,4,srikakulam district,965335
andhra-pradesh,2021,4,visakhapatnam district,2888774
andhra-pradesh,2021,4,prakasam district,1325728
andhra-pradesh,2021,4,anantapur district,1719437
andhra-pradesh,2021,4,kurnool district,1628242
andhra-pradesh,2021,4,guntur district,2252443
andhra-pradesh,2021,4,krishna district,2288148
andhra-pradesh,2021,4,spsr nellore district,1349290
andhra-pradesh,2021,4,vizianagaram district,839606
andhra-pradesh,2021,4,ysr district,1262963
andhra-pradesh,2021,4,west godavari district,1532898
andhra-pradesh,2021,4,chittoor district,2141818
andhra-pradesh,2022,1,east godavari district,2432305
andhra-pradesh,2022,1,srikakulam district,1027283
andhra-pradesh,2022,1,visakhapatnam district,3061324
andhra-pradesh,2022,1,prakasam district,1408929
andhra-pradesh,2022,1,anantapur district,1827094
andhra-pradesh,2022,1,kurnool district,1729513
andhra-pradesh,2022,1,guntur district,2387051
andhra-pradesh,2022,1,krishna district,2423373
andhra-pradesh,2022,1,spsr nellore district,1431664
andhra-pradesh,2022,1,vizianagaram district,892889
andhra-pradesh,2022,1,ysr district,1339782
andhra-pradesh,2022,1,west godavari district,1626039
andhra-pradesh,2022,1,chittoor district,2270705
andhra-pradesh,2022,2,east godavari district,2564165
andhra-pradesh,2022,2,srikakulam district,1086164
andhra-pradesh,2022,2,visakhapatnam district,3226029
andhra-pradesh,2022,2,prakasam district,1487589
andhra-pradesh,2022,2,anantapur district,1928213
andhra-pradesh,2022,2,kurnool district,1825280
andhra-pradesh,2022,2,guntur district,2514794
andhra-pradesh,2022,2,krishna district,2552107
andhra-pradesh,2022,2,spsr nellore district,1509927
andhra-pradesh,2022,2,vizianagaram district,943242
andhra-pradesh,2022,2,ysr district,1412848
andhra-pradesh,2022,2,west godavari district,1714357
andhra-pradesh,2022,2,chittoor district,2392549
andhra-pradesh,2022,3,east godavari district,2702234
andhra-pradesh,2022,3,srikakulam district,1147016
andhra-pradesh,2022,3,visakhapatnam district,3397514
andhra-pradesh,2022,3,prakasam district,1567520
andhra-pradesh,2022,3,anantapur district,2030824
andhra-pradesh,2022,3,kurnool district,1924127
andhra-pradesh,2022,3,guntur district,2647100
andhra-pradesh,2022,3,krishna district,2685215
andhra-pradesh,2022,3,spsr nellore district,1588875
andhra-pradesh,2022,3,vizianagaram district,995141
andhra-pradesh,2022,3,ysr district,1487140
andhra-pradesh,2022,3,west godavari district,1805967
andhra-pradesh,2022,3,chittoor district,2517657
andhra-pradesh,2022,4,east godavari district,2835087
andhra-pradesh,2022,4,srikakulam district,1204785
andhra-pradesh,2022,4,visakhapatnam district,3566854
andhra-pradesh,2022,4,prakasam district,1642503
andhra-pradesh,2022,4,anantapur district,2128066
andhra-pradesh,2022,4,kurnool district,2018290
andhra-pradesh,2022,4,guntur district,2774365
andhra-pradesh,2022,4,krishna district,2813645
andhra-pradesh,2022,4,spsr nellore district,1663684
andhra-pradesh,2022,4,vizianagaram district,1044490
andhra-pradesh,2022,4,ysr district,1556901
andhra-pradesh,2022,4,west godavari district,1893310
andhra-pradesh,2022,4,chittoor district,2636036
andhra-pradesh,2023,1,east godavari district,2965296
andhra-pradesh,2023,1,srikakulam district,1263204
andhra-pradesh,2023,1,visakhapatnam district,3732544
andhra-pradesh,2023,1,prakasam district,1719910
andhra-pradesh,2023,1,anantapur district,2228505
andhra-pradesh,2023,1,kurnool district,2114023
andhra-pradesh,2023,1,guntur district,2900895
andhra-pradesh,2023,1,krishna district,2941585
andhra-pradesh,2023,1,spsr nellore district,1740294
andhra-pradesh,2023,1,vizianagaram district,1094782
andhra-pradesh,2023,1,ysr district,1628595
andhra-pradesh,2023,1,west godavari district,1980446
andhra-pradesh,2023,1,chittoor district,2755784
andhra-pradesh,2023,2,east godavari district,3082893
andhra-pradesh,2023,2,srikakulam district,1317771
andhra-pradesh,2023,2,visakhapatnam district,3877504
andhra-pradesh,2023,2,prakasam district,1792637
andhra-pradesh,2023,2,anantapur district,2323796
andhra-pradesh,2023,2,kurnool district,2202517
andhra-pradesh,2023,2,guntur district,3014655
andhra-pradesh,2023,2,krishna district,3054956
andhra-pradesh,2023,2,spsr nellore district,1811781
andhra-pradesh,2023,2,vizianagaram district,1141578
andhra-pradesh,2023,2,ysr district,1694843
andhra-pradesh,2023,2,west godavari district,2059880
andhra-pradesh,2023,2,chittoor district,2865250
arunachal-pradesh,2018,1,lower subansiri district,498
arunachal-pradesh,2018,1,tirap district,557
arunachal-pradesh,2018,1,papum pare district,7649
arunachal-pradesh,2018,1,anjaw district,278
arunachal-pradesh,2018,1,lower siang district,270
arunachal-pradesh,2018,1,dibang valley district,66
arunachal-pradesh,2018,1,west kameng district,2202
arunachal-pradesh,2018,1,shi yomi district,49
arunachal-pradesh,2018,1,east kameng district,222
arunachal-pradesh,2018,1,lohit district,1207
arunachal-pradesh,2018,1,lepa rada district,210
arunachal-pradesh,2018,1,lower dibang valley district,601
arunachal-pradesh,2018,1,longding district,256
arunachal-pradesh,2018,1,west siang district,846
arunachal-pradesh,2018,1,kamle district,22
arunachal-pradesh,2018,1,upper siang district,301
arunachal-pradesh,2018,1,kurung kumey district,97
arunachal-pradesh,2018,1,siang district,192
arunachal-pradesh,2018,1,kra daadi district,88
arunachal-pradesh,2018,1,changlang district,1208
arunachal-pradesh,2018,1,pakke kessang district,39
arunachal-pradesh,2018,1,east siang district,1803
arunachal-pradesh,2018,1,upper subansiri district,572
arunachal-pradesh,2018,1,tawang district,1525
arunachal-pradesh,2018,1,namsai district,737
arunachal-pradesh,2018,2,lower subansiri district,724
arunachal-pradesh,2018,2,tirap district,856
arunachal-pradesh,2018,2,papum pare district,11418
arunachal-pradesh,2018,2,anjaw district,410
arunachal-pradesh,2018,2,lower siang district,494
arunachal-pradesh,2018,2,dibang valley district,112
arunachal-pradesh,2018,2,west kameng district,3442
arunachal-pradesh,2018,2,shi yomi district,80
arunachal-pradesh,2018,2,east kameng district,343
arunachal-pradesh,2018,2,lohit district,1898
arunachal-pradesh,2018,2,lepa rada district,318
arunachal-pradesh,2018,2,lower dibang valley district,893
arunachal-pradesh,2018,2,longding district,412
arunachal-pradesh,2018,2,west siang district,1224
arunachal-pradesh,2018,2,kamle district,37
arunachal-pradesh,2018,2,upper siang district,481
arunachal-pradesh,2018,2,kurung kumey district,153
arunachal-pradesh,2018,2,siang district,293
arunachal-pradesh,2018,2,kra daadi district,144
arunachal-pradesh,2018,2,changlang district,2014
arunachal-pradesh,2018,2,pakke kessang district,66
arunachal-pradesh,2018,2,east siang district,2646
arunachal-pradesh,2018,2,upper subansiri district,883
arunachal-pradesh,2018,2,tawang district,2266
arunachal-pradesh,2018,2,namsai district,1276
arunachal-pradesh,2018,3,lower subansiri district,1033
arunachal-pradesh,2018,3,tirap district,1226
arunachal-pradesh,2018,3,papum pare district,16009
arunachal-pradesh,2018,3,anjaw district,542
arunachal-pradesh,2018,3,lower siang district,717
arunachal-pradesh,2018,3,dibang valley district,145
arunachal-pradesh,2018,3,west kameng district,4765
arunachal-pradesh,2018,3,shi yomi district,118
arunachal-pradesh,2018,3,east kameng district,521
arunachal-pradesh,2018,3,lohit district,2612
arunachal-pradesh,2018,3,lepa rada district,431
arunachal-pradesh,2018,3,lower dibang valley district,1286
arunachal-pradesh,2018,3,longding district,644
arunachal-pradesh,2018,3,west siang district,1652
arunachal-pradesh,2018,3,kamle district,65
arunachal-pradesh,2018,3,upper siang district,646
arunachal-pradesh,2018,3,kurung kumey district,222
arunachal-pradesh,2018,3,siang district,373
arunachal-pradesh,2018,3,kra daadi district,190
arunachal-pradesh,2018,3,changlang district,2889
arunachal-pradesh,2018,3,pakke kessang district,103
arunachal-pradesh,2018,3,east siang district,3590
arunachal-pradesh,2018,3,upper subansiri district,1169
arunachal-pradesh,2018,3,tawang district,3112
arunachal-pradesh,2018,3,namsai district,1862
arunachal-pradesh,2018,4,lower subansiri district,1459
arunachal-pradesh,2018,4,tirap district,1684
arunachal-pradesh,2018,4,papum pare district,21342
arunachal-pradesh,2018,4,anjaw district,744
arunachal-pradesh,2018,4,lower siang district,936
arunachal-pradesh,2018,4,dibang valley district,178
arunachal-pradesh,2018,4,west kameng district,6492
